model,optimizer,n,bins,bin_type,reps,usable,convergence_rate,classical_conv_rate,symbolic_conv_rate,median_time_classical,median_time_symbolic,speedup,mse_class,mse_symbolic,rmse_class,rmse_symbolic,relative_rmse,rmse_mean_ratio,rmse_sd_ratio,boundary_hit_rate
logistic,CG,365,50,EW,500,500,1,1,1,0.015316666666668274,0.0012666666666670305,12.092105263155691,0.1108340929979855,0.12209491899936005,0.3329175468460404,0.34942083366530974,1.0495716941795843,1.034961554062884,1.0684472041838524,0
logistic,CG,365,50,QU,500,500,1,1,1,0.015316666666668274,0.01140000000000138,1.3435672514619668,0.1108340929979855,0.1136066962358005,0.3329175468460404,0.33705592449295485,1.0124306384151878,0.9992481602929221,1.0294790719912397,0
logistic,CG,1095,50,EW,500,500,1,1,1,0.03641666666666575,0.0012666666666670305,28.74999999999102,0.03655942202842049,0.03946116132676116,0.19120518305846337,0.19864833582681019,1.038927568015094,1.0186708634015726,1.062390094980927,0
logistic,CG,1095,50,QU,500,500,1,1,1,0.03641666666666575,0.01896666666666723,1.9200351493847807,0.03655942202842049,0.0376970517605566,0.19120518305846337,0.19415728613821476,1.0154394511306146,1.0028618046821374,1.0301189278715672,0
logistic,CG,3650,50,EW,500,500,1,1,1,0.10078333333333375,0.0019499999999993633,51.68376068377778,0.012161357753724825,0.013319847398843681,0.1102785462078859,0.11541164325510525,1.0465466513998376,1.0469429015503746,1.0460496748746366,0
logistic,CG,3650,50,QU,500,500,1,1,1,0.10078333333333375,0.015883333333336698,6.3452256033565,0.012161357753724825,0.012411782671656523,0.1102785462078859,0.11140818045213971,1.0102434633307944,1.0017522477484306,1.020788817913961,0
logistic,Nelder-Mead,365,50,EW,500,500,1,1,1,0.0012666666666670305,0.001166666666669395,1.0857142857120585,0.11082896318486209,0.11118306684619024,0.33290984242713834,0.3334412494671141,1.0015962491108747,1.0014344780776108,1.0018085807014088,0
logistic,Nelder-Mead,365,50,QU,500,500,1,1,1,0.0012666666666670305,0.0014666666666660908,0.8636363636369508,0.11082896318486209,0.11363420617570892,0.33290984242713834,0.33709673118514355,1.0125766445578175,0.9994447217091619,1.029561845080991,0
logistic,Nelder-Mead,1095,50,EW,500,500,1,1,1,0.003066666666666151,0.0011666666666656055,2.6285714285733772,0.036565542289208865,0.03687095110112216,0.19122118682094008,0.19201810097259622,1.0041674992447482,1.0048134358673715,1.0034028607697945,0
logistic,Nelder-Mead,1095,50,QU,500,500,1,1,1,0.003066666666666151,0.0014333333333335456,2.1395348837202537,0.036565542289208865,0.03769562709844536,0.19122118682094008,0.1941536172685056,1.0153352800299869,1.0028591201916797,1.0298986584468424,0
logistic,Nelder-Mead,3650,50,EW,500,500,1,1,1,0.009333333333332423,0.0011333333333330604,8.23529411764824,0.012154929987335266,0.0122310269342627,0.11024939903389618,0.11059397331800092,1.003125407368423,1.0027874204172675,1.003548947495506,0
logistic,Nelder-Mead,3650,50,QU,500,500,1,1,1,0.009333333333332423,0.001399999999997211,6.666666666679298,0.012154929987335266,0.01241367058584133,0.11024939903389618,0.11141665309028687,1.0105873960912188,1.0025595295769894,1.0205619442704403,0
