study,replicate,model,optimizer,n,bins,bin_type,truth_mean,truth_sd,class_mean,class_sd,sym_mean,sym_sd,time_classical,time_symbolic,class_loglik,sym_loglik,class_conv,sym_conv,paired_conv,class_boundary_hit,sym_boundary_hit
shifted_lognormal_sensitivity,1,shifted_lognormal,BFGS,365,10,EW,25,5.000000000000001,25.356854831775102,5.2579862620984485,25.293652538603638,5.055068766831197,0.0045000000000000005,0.0046666666666666705,-1063.3310962773292,-564.0902255768294,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,L-BFGS-B,365,10,EW,25,5.000000000000001,25.35674769589005,5.25788199250767,25.293592159893016,5.055019105659675,0.003499999999999999,0.005799999999999998,-1063.3310963542367,-564.0902255653692,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,BFGS,365,10,QU,25,5.000000000000001,25.356854831775102,5.2579862620984485,25.280742271990356,5.02384684223211,0.0045000000000000005,0.003966666666666674,-1063.3310962773292,-868.4571300421029,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,L-BFGS-B,365,10,QU,25,5.000000000000001,25.35674769589005,5.25788199250767,25.28059278769731,5.024199293300028,0.003499999999999999,0.004133333333333337,-1063.3310963542367,-868.4571318668211,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,BFGS,365,50,EW,25,5.000000000000001,25.356854831775102,5.2579862620984485,25.35779311456371,5.250786043486015,0.0045000000000000005,0.00473333333333333,-1063.3310962773292,-1134.813772234204,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,L-BFGS-B,365,50,EW,25,5.000000000000001,25.35674769589005,5.25788199250767,25.357792570979722,5.25081303807741,0.003499999999999999,0.005766666666666668,-1063.3310963542367,-1134.8137722469119,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,BFGS,365,50,QU,25,5.000000000000001,25.356854831775102,5.2579862620984485,25.339026966567246,5.137952420867804,0.0045000000000000005,0.005866666666666672,-1063.3310962773292,-1594.4628622005703,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,L-BFGS-B,365,50,QU,25,5.000000000000001,25.35674769589005,5.25788199250767,25.3390707569741,5.138004505056431,0.003499999999999999,0.005900000000000002,-1063.3310963542367,-1594.46286222212,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,BFGS,365,100,EW,25,5.000000000000001,25.356854831775102,5.2579862620984485,25.357615580098283,5.242599623228691,0.0045000000000000005,0.00600000000000002,-1063.3310962773292,-1388.2913269775854,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,L-BFGS-B,365,100,EW,25,5.000000000000001,25.35674769589005,5.25788199250767,25.358090890917346,5.24271785339722,0.003499999999999999,0.005800000000000013,-1063.3310963542367,-1388.2913299979161,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,BFGS,365,100,QU,25,5.000000000000001,25.356854831775102,5.2579862620984485,25.336628443347962,5.16113394537747,0.0045000000000000005,0.007400000000000014,-1063.3310962773292,-2022.2957283185651,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,1,shifted_lognormal,L-BFGS-B,365,100,QU,25,5.000000000000001,25.35674769589005,5.25788199250767,25.336609401715076,5.161137270893538,0.003499999999999999,0.007299999999999981,-1063.3310963542367,-2022.2957283415262,TRUE,TRUE,TRUE,FALSE,FALSE
