model,optimizer,n,bins,bin_type,reps,usable,convergence_rate,classical_conv_rate,symbolic_conv_rate,median_time_classical,median_time_symbolic,speedup,mse_class,mse_symbolic,rmse_class,rmse_symbolic,relative_rmse,rmse_mean_ratio,rmse_sd_ratio,boundary_hit_rate
logistic,BFGS,365,10,EW,1000,1000,1,1,1,9.333333333340003e-4,6.999999999986055e-4,1.3333333333369424,0.10987503342639092,0.11681198928787642,0.3314740313001773,0.34177768986268897,1.0310843613362304,1.0328925854647206,1.0288180147739239,0
logistic,BFGS,365,10,QU,1000,1000,1,1,1,9.333333333340003e-4,8.33333333336365e-4,1.1199999999967258,0.10987503342639092,0.1232798184852018,0.3314740313001773,0.351112259092732,1.0592451472458508,1.0084885921108653,1.119500560071726,0
logistic,BFGS,365,50,EW,1000,1000,1,1,1,9.333333333340003e-4,8.666666666689101e-4,1.076923076921059,0.10987503342639092,0.11014660755439597,0.3314740313001773,0.33188342464545584,1.0012350691354999,1.0018466592703683,1.0004695165728128,0
logistic,BFGS,365,50,QU,1000,1000,1,1,1,9.333333333340003e-4,0.0010999999999967258,0.8484848484879804,0.10987503342639092,0.1128408438294045,0.3314740313001773,0.3359179123378277,1.0134064228809108,1.0034018842980312,1.0257835501248904,0
logistic,BFGS,365,100,EW,1000,1000,1,1,1,9.333333333340003e-4,0.0010666666666641806,0.8750000000026646,0.10987503342639092,0.10992944659383219,0.3314740313001773,0.3315560987130718,1.0002475832347184,1.000804516377622,0.9995504895122919,0
logistic,BFGS,365,100,QU,1000,1000,1,1,1,9.333333333340003e-4,0.0012999999999995756,0.7179487179494655,0.10987503342639092,0.11236420812151274,0.3314740313001773,0.33520770892315815,1.0112638616314402,1.001990201053524,1.0227457320528044,0
logistic,BFGS,1095,10,EW,1000,1000,1,1,1,0.002299999999998666,7.00000000002395e-4,3.2857142857011383,0.03656937921238774,0.03887424802109337,0.19123121924096947,0.19716553456700633,1.0310321471022943,1.0240245384751208,1.0397937699764868,0
logistic,BFGS,1095,10,QU,1000,1000,1,1,1,0.002299999999998666,8.666666666689101e-4,2.653846153837745,0.03656937921238774,0.04053832747866803,0.19123121924096947,0.20134132084266268,1.05286846803478,1.005642329992379,1.1095104302991525,0
logistic,BFGS,1095,50,EW,1000,1000,1,1,1,0.002299999999998666,8.999999999976656e-4,2.555555555560702,0.03656937921238774,0.0365751796337785,0.19123121924096947,0.1912463846293009,1.0000793039357885,1.0010970601717266,0.9987955610993487,0
logistic,BFGS,1095,50,QU,1000,1000,1,1,1,0.002299999999998666,0.001100000000004305,2.0909090908996952,0.03656937921238774,0.03734121712897221,0.19123121924096947,0.19323875679835092,1.0104979593047083,1.0025375476407372,1.0204388444517933,0
logistic,BFGS,1095,100,EW,1000,1000,1,1,1,0.002299999999998666,0.0010666666666717599,2.1562499999884537,0.03656937921238774,0.03649057928748503,0.19123121924096947,0.19102507502284885,0.9989220158772252,0.9988301589716726,0.9990377339498511,0
logistic,BFGS,1095,100,QU,1000,1000,1,1,1,0.002299999999998666,0.00140000000000479,1.6428571428505692,0.03656937921238774,0.0370097457025411,0.19123121924096947,0.19237917169626523,1.006002955269815,1.0017865553521355,1.0112901520676,0
