model,optimizer,n,bins,bin_type,reps,usable,convergence_rate,classical_conv_rate,symbolic_conv_rate,median_time_classical,median_time_symbolic,speedup,mse_class,mse_symbolic,rmse_class,rmse_symbolic,relative_rmse,rmse_mean_ratio,rmse_sd_ratio,boundary_hit_rate
shifted_lognormal,BFGS,365,10,EW,500,500,1,1,1,0.003933333333333403,0.003200000000000121,1.2291666666666419,0.18383020128063612,0.19494723126172855,0.42875424345496116,0.44152829044323827,1.0297934007261178,1.017139584078029,1.0379734963338039,0
shifted_lognormal,BFGS,365,10,QU,500,500,1,1,1,0.003933333333333403,0.0036999999999996667,1.0630630630631777,0.18383020128063612,0.29795097874694076,0.42875424345496116,0.5458488607178188,1.273104276051691,1.1012067061686779,1.373798407581488,0
shifted_lognormal,BFGS,365,50,EW,500,500,1,1,1,0.003933333333333403,0.004499999999999971,0.8740740740740952,0.18383020128063612,0.18285855906913662,0.42875424345496116,0.4276196429879439,0.9973537277255277,1.000190790471922,0.9954966695590394,0
shifted_lognormal,BFGS,365,50,QU,500,500,1,1,1,0.003933333333333403,0.005616666666666485,0.7002967359050796,0.18383020128063612,0.19685914120294776,0.42875424345496116,0.44368811253283286,1.0348308367925003,1.0062561323911043,1.0530726345512749,0
shifted_lognormal,BFGS,365,100,EW,500,500,1,1,1,0.003933333333333403,0.005799999999999746,0.6781609195402716,0.18383020128063612,0.18136716201634256,0.42875424345496116,0.4258722367287431,0.9932781849504404,0.9987623045512694,0.9896804744370826,0
shifted_lognormal,BFGS,365,100,QU,500,499,0.998,1,0.998,0.003933333333333403,0.00730000000000004,0.5388127853881345,0.1840752009528699,0.1962175608870027,0.42903985939871586,0.4429645142525558,1.032455387416346,1.0084369024338458,1.0478435959910648,0
shifted_lognormal,BFGS,1095,10,EW,500,500,1,1,1,0.00910000000000082,0.003333333333333144,2.730000000000401,0.055536348672714876,0.05802400644198993,0.23566151292206133,0.2408817270819643,1.0221513224419867,1.0250784919828833,1.0203319731576397,0
shifted_lognormal,BFGS,1095,10,QU,500,500,1,1,1,0.00910000000000082,0.0037666666666666517,2.41592920354005,0.055536348672714876,0.0832010132428768,0.23566151292206133,0.2884458584255922,1.223983733487224,1.0888642964936084,1.3007395441526652,0
shifted_lognormal,BFGS,1095,50,EW,500,500,1,1,1,0.00910000000000082,0.004499999999999697,2.0222222222225406,0.055536348672714876,0.0550472884808251,0.23566151292206133,0.2346215857094677,0.9955871996250082,1.0001382327998607,0.9927546347491178,0
shifted_lognormal,BFGS,1095,50,QU,500,500,1,1,1,0.00910000000000082,0.005733333333332287,1.5872093023260139,0.055536348672714876,0.06084176439241179,0.23566151292206133,0.24666123406893875,1.046675933674903,1.0146755807301497,1.0660368755957172,0
shifted_lognormal,BFGS,1095,100,EW,500,500,1,1,1,0.00910000000000082,0.005966666666667683,1.525139664804347,0.055536348672714876,0.054692980206186806,0.23566151292206133,0.23386530355353444,0.992378011384825,0.9995911709699968,0.9878786923775721,0
