study,replicate,model,optimizer,n,bins,bin_type,truth_mean,truth_sd,class_mean,class_sd,sym_mean,sym_sd,time_classical,time_symbolic,class_loglik,sym_loglik,class_conv,sym_conv,paired_conv,class_boundary_hit,sym_boundary_hit
optimizer_robustness,7,normal,Nelder-Mead,365,50,EW,25,5,24.870628650190973,5.366880010291832,24.866706276176824,5.369568184884045,9.333333333333489e-4,0.0011999999999999862,-1131.2842962432444,-1342.72137557976,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,7,normal,CG,365,50,EW,25,5,24.87130441082174,5.368081233411042,24.87130441082174,5.375449414905005,0.005100000000000016,6.666666666666524e-4,-1131.2842750813393,-1342.7217322300996,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,7,normal,Nelder-Mead,365,50,QU,25,5,24.870628650190973,5.366880010291832,24.87333103332547,5.395745911545084,9.333333333333489e-4,0.0016000000000000014,-1131.2842962432444,-1599.6721942948714,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,7,normal,CG,365,50,QU,25,5,24.87130441082174,5.368081233411042,24.873807787604242,5.395800305280971,0.005100000000000016,0.012199999999999989,-1131.2842750813393,-1599.672192601808,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,8,normal,Nelder-Mead,365,50,EW,25,5,25.28943338465165,5.041302315136819,25.294960975954854,5.062426018381573,0.0010666666666666676,0.0013333333333333049,-1108.2746577658806,-1305.0837768656313,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,8,normal,CG,365,50,EW,25,5,25.289709624312373,5.040122706027439,25.289709624312373,5.047040737006954,0.0078,0.0014333333333333086,-1108.274637216535,-1305.087112203507,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,8,normal,Nelder-Mead,365,50,QU,25,5,25.28943338465165,5.041302315136819,25.318878567951163,4.982134249658447,0.0010666666666666676,0.0014999999999999976,-1108.2746577658806,-1595.5866309509254,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,8,normal,CG,365,50,QU,25,5,25.289709624312373,5.040122706027439,25.31754491016487,4.982807389854844,0.0078,0.014533333333333332,-1108.274637216535,-1595.5866089087724,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,9,normal,Nelder-Mead,365,50,EW,25,5,24.458074334585163,4.953755687915345,24.451999207394344,4.9424073642330795,0.0010333333333333527,0.001333333333333364,-1101.9745420919637,-1297.4265633472617,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,9,normal,CG,365,50,EW,25,5,24.45849674708043,4.953873959386323,24.45849674708043,4.960673610407158,0.0038666666666666554,0.0020999999999999613,-1101.974540558513,-1297.4315822781255,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,9,normal,Nelder-Mead,365,50,QU,25,5,24.458074334585163,4.953755687915345,24.511022169734765,4.8987617647279915,0.0010333333333333527,0.001399999999999994,-1101.9745420919637,-1595.649521365071,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,9,normal,CG,365,50,QU,25,5,24.45849674708043,4.953873959386323,24.512743544469092,4.89733904558359,0.0038666666666666554,0.024599999999999986,-1101.974540558513,-1595.649463205943,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,10,normal,Nelder-Mead,365,50,EW,25,5,24.875639687132868,4.937155535682307,24.89670085386966,4.936001233379349,9.666666666666639e-4,0.001399999999999994,-1100.8224729606286,-1263.28701260338,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,10,normal,CG,365,50,EW,25,5,24.876315583918675,4.938262168473301,24.876315583918636,4.945040380254637,0.006933333333333339,0.0020666666666666464,-1100.8224512192091,-1263.2911996322362,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,10,normal,Nelder-Mead,365,50,QU,25,5,24.875639687132868,4.937155535682307,24.903931023682507,4.942536057118054,9.666666666666639e-4,0.0015666666666666273,-1100.8224729606286,-1590.8647197422792,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,10,normal,CG,365,50,QU,25,5,24.876315583918675,4.938262168473301,24.904895975177986,4.94230845321527,0.006933333333333339,0.01733333333333332,-1100.8224512192091,-1590.8647110024444,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,11,normal,Nelder-Mead,365,50,EW,25,5,25.585757650926436,5.2424503754448635,25.582532867650322,5.250283889228305,0.0010999999999999825,0.0014000000000000531,-1122.653015318852,-1297.67903263487,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,11,normal,CG,365,50,EW,25,5,25.585855356627455,5.242629810508267,25.58585535663075,5.249825795442673,0.007266666666666666,0.0032000000000000028,-1122.653014830198,-1297.6791405547115,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,11,normal,Nelder-Mead,365,50,QU,25,5,25.585757650926436,5.2424503754448635,25.637205153710976,5.225305884605568,0.0010999999999999825,0.0015666666666666865,-1122.653015318852,-1601.750799814109,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,11,normal,CG,365,50,QU,25,5,25.585855356627455,5.242629810508267,25.637580066757085,5.225278573638233,0.007266666666666666,0.019866666666666668,-1122.653014830198,-1601.750798754896,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,12,normal,Nelder-Mead,365,50,EW,25,5,25.264473900650408,4.895638925845192,25.26177601576972,4.899160194917544,0.0010333333333332935,0.0013666666666665606,-1097.5725755996145,-1299.878115198133,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,12,normal,CG,365,50,EW,25,5,25.264749867675548,4.894487902856938,25.26474986767565,4.9012060387210346,0.015266666666666732,0.003566666666666644,-1097.572554826023,-1299.8782822159594,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,12,normal,Nelder-Mead,365,50,QU,25,5,25.264473900650408,4.895638925845192,25.292044475334094,4.853442601558115,0.0010333333333332935,0.0016000000000000606,-1097.5725755996145,-1592.9406195807228,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,12,normal,CG,365,50,QU,25,5,25.264749867675548,4.894487902856938,25.29185427890155,4.853167783572624,0.015266666666666732,0.024066666666666712,-1097.572554826023,-1592.940618003824,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,13,normal,Nelder-Mead,365,50,EW,25,5,25.401256237485782,4.946568722400703,25.394814459959925,4.952871196327946,0.0010333333333334119,0.0013000000000000492,-1101.3523350559076,-1255.8024835137028,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,13,normal,CG,365,50,EW,25,5,25.401533698601586,4.945436157449984,25.401533698603473,4.952224221875697,0.004833333333333319,0.0028666666666667356,-1101.3523153305707,-1255.802897762314,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,13,normal,Nelder-Mead,365,50,QU,25,5,25.401256237485782,4.946568722400703,25.46581901636022,4.848615345096638,0.0010333333333334119,0.0015333333333333126,-1101.3523350559076,-1596.740599406063,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,13,normal,CG,365,50,QU,25,5,25.401533698601586,4.945436157449984,25.46501891576883,4.848649527997843,0.004833333333333319,0.023499999999999945,-1101.3523153305707,-1596.7405936790342,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,14,normal,Nelder-Mead,365,50,EW,25,5,24.782733064234996,4.62932250920548,24.788987942430715,4.646020006142477,0.0010666666666666676,0.0013000000000000492,-1077.3220234594955,-1264.653254508636,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,14,normal,CG,365,50,EW,25,5,24.783406436652044,4.630332548824542,24.783406436652037,4.636688097030981,0.009666666666666638,0.0028999999999999916,-1077.3220022390033,-1264.6547933981014,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,14,normal,Nelder-Mead,365,50,QU,25,5,24.782733064234996,4.62932250920548,24.803722185327807,4.576223699612823,0.0010666666666666676,0.0015666666666666865,-1077.3220234594955,-1592.0929872850465,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,14,normal,CG,365,50,QU,25,5,24.783406436652044,4.630332548824542,24.804047545804004,4.576450085931245,0.009666666666666638,0.013833333333333423,-1077.3220022390033,-1592.0929852787328,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,15,normal,Nelder-Mead,365,50,EW,25,5,24.417298374626448,4.889559123213,24.420989118593155,4.879793205100606,0.0010666666666666676,0.001366666666666679,-1097.2126791766675,-1302.368485461626,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,15,normal,CG,365,50,EW,25,5,24.41772008288495,4.88966448240359,24.41772008288495,4.896376003292114,0.0064000000000000055,0.003033333333333369,-1097.2126776511,-1302.3729490670592,TRUE,TRUE,TRUE,FALSE,FALSE
